set,model,defense,n,ASR,ci_low,ci_high,block_rate
attack,groq/openai/gpt-oss-120b,llm_input,40,0.0,0.0,0.0,0.925
attack,groq/openai/gpt-oss-120b,llm_output,40,0.0,0.0,0.0,0.925
attack,groq/openai/gpt-oss-120b,no_defense,40,0.025,0.0,0.075,0.0
attack,groq/openai/gpt-oss-120b,promptguard_input,40,0.025,0.0,0.075,0.35
attack,groq/openai/gpt-oss-120b,spotlight,40,0.0,0.0,0.0,0.0
attack,groq/openai/gpt-oss-120b,spotlight_output,40,0.0,0.0,0.0,0.0
attack,groq/openai/gpt-oss-20b,llm_input,40,0.0,0.0,0.0,0.925
attack,groq/openai/gpt-oss-20b,llm_output,40,0.0,0.0,0.0,0.925
attack,groq/openai/gpt-oss-20b,no_defense,40,0.05,0.0,0.125,0.0
attack,groq/openai/gpt-oss-20b,promptguard_input,40,0.025,0.0,0.075,0.35
attack,groq/openai/gpt-oss-20b,spotlight,40,0.0,0.0,0.0,0.0
attack,groq/openai/gpt-oss-20b,spotlight_output,40,0.0,0.0,0.0,0.025
attack,openai/gpt-4o-mini,llm_input,40,0.0,0.0,0.0,0.925
attack,openai/gpt-4o-mini,llm_output,40,0.0,0.0,0.0,0.925
attack,openai/gpt-4o-mini,no_defense,40,0.0,0.0,0.0,0.0
attack,openai/gpt-4o-mini,promptguard_input,40,0.0,0.0,0.0,0.35
attack,openai/gpt-4o-mini,spotlight,40,0.0,0.0,0.0,0.0
attack,openai/gpt-4o-mini,spotlight_output,40,0.0,0.0,0.0,0.0
indirect,groq/openai/gpt-oss-120b,llm_input,40,0.25,0.125,0.4,0.125
indirect,groq/openai/gpt-oss-120b,llm_output,40,0.05,0.0,0.125,0.325
indirect,groq/openai/gpt-oss-120b,no_defense,40,0.275,0.15,0.425,0.0
indirect,groq/openai/gpt-oss-120b,promptguard_input,40,0.25,0.125,0.4,0.0
indirect,groq/openai/gpt-oss-120b,spotlight,40,0.025,0.0,0.075,0.0
indirect,groq/openai/gpt-oss-120b,spotlight_output,40,0.0,0.0,0.0,0.0
indirect,groq/openai/gpt-oss-20b,llm_input,40,0.2,0.075,0.325,0.1
indirect,groq/openai/gpt-oss-20b,llm_output,40,0.05,0.0,0.125,0.225
indirect,groq/openai/gpt-oss-20b,no_defense,40,0.225,0.1,0.35,0.0
indirect,groq/openai/gpt-oss-20b,promptguard_input,40,0.2,0.075,0.325,0.0
indirect,groq/openai/gpt-oss-20b,spotlight,40,0.05,0.0,0.125,0.0
indirect,groq/openai/gpt-oss-20b,spotlight_output,40,0.05,0.0,0.125,0.025
indirect,openai/gpt-4o-mini,llm_input,40,0.125,0.025,0.225,0.125
indirect,openai/gpt-4o-mini,llm_output,40,0.075,0.0,0.175,0.2
indirect,openai/gpt-4o-mini,no_defense,40,0.175,0.075,0.3,0.0
indirect,openai/gpt-4o-mini,promptguard_input,40,0.15,0.05,0.275,0.0
indirect,openai/gpt-4o-mini,spotlight,40,0.05,0.0,0.125,0.0
indirect,openai/gpt-4o-mini,spotlight_output,40,0.025,0.0,0.075,0.025
